Facrorial(100),,,,,,,,,,
,Python(BME.),Python(Dkr.),Node(BME.),Node(Dkr.),Golang(BME.),Golang(Dkr.),PHP(BME.),PHP(Dkr.),JAVA(BME.),JAVA(Dkr.)
Avg. duration,0.037,0.533,0.062,0.589,0.002,0.483,0.027,0.566,1.163,1.617
